total_processing_days,premium,application_type,service_center
70.0,False,new application,California
82.0,False,new application,California
63.0,False,new application,Vermont
78.0,False,new application,California
35.0,False,new application,Vermont
50.0,False,new application,Phoenix
59.0,False,new application,California
45.0,False,renewal,Phoenix
33.0,False,new application,Vermont
36.0,False,new application,Vermont
21.0,False,new application,Vermont
26.0,False,new application,Vermont
55.0,False,new application,Vermont
220.0,False,new application,Dallas
74.0,False,renewal,Vermont
53.0,False,new application,Phoenix
142.0,False,new application,Vermont
101.0,False,new application,Texas
21.0,False,new application,Vermont
72.0,False,new application,Vermont
36.0,False,renewal,Vermont
40.0,False,new application,California
40.0,False,new application,Vermont
60.0,False,new application,Vermont
39.0,False,renewal,Vermont
74.0,False,new application,Vermont
140.0,False,renewal,Dallas
142.0,False,new application,Vermont
46.0,False,new application,Phoenix
72.0,False,new application,Phoenix
126.0,False,new application,Vermont
3.0,True,new application,California
111.0,False,new application,Vermont
105.0,False,new application,Vermont
113.0,False,new application,Vermont
119.0,False,new application,Vermont
33.0,False,new application,Vermont
57.0,False,new application,California
222.0,False,new application,Vermont
96.0,False,new application,Vermont
53.0,False,new application,Dallas
61.0,False,new application,California
86.0,False,new application,Vermont
40.0,False,new application,Vermont
62.0,False,new application,California
40.0,False,new application,Vermont
133.0,False,new application,Vermont
102.0,False,new application,Vermont
50.0,False,new application,Dallas
54.0,False,renewal,Vermont
54.0,False,new application,Vermont
57.0,False,new application,California
52.0,False,new application,Dallas
49.0,False,new application,Vermont
37.0,False,new application,Vermont
104.0,False,new application,Vermont
121.0,False,new application,Vermont
63.0,False,new application,California
122.0,False,new application,Vermont
100.0,False,renewal,Vermont
37.0,False,new application,Vermont
32.0,False,new application,Vermont
57.0,False,new application,California
25.0,False,new application,Vermont
17.0,False,new application,Phoenix
52.0,False,new application,Vermont
58.0,False,renewal,California
49.0,False,new application,California
31.0,False,new application,Vermont
42.0,False,new application,Phoenix
47.0,False,new application,California
43.0,False,new application,Vermont
72.0,False,new application,Vermont
26.0,False,new application,Vermont
101.0,False,new application,Vermont
53.0,False,new application,Vermont
49.0,False,renewal,Vermont
50.0,False,new application,Vermont
62.0,False,new application,Phoenix
52.0,False,new application,Vermont
72.0,False,new application,Vermont
98.0,False,new application,Vermont
165.0,False,new application,Dallas
31.0,False,new application,Vermont
167.0,False,new application,Texas
66.0,False,new application,Vermont
60.0,False,new application,California
75.0,False,renewal,Vermont
35.0,False,new application,Vermont
58.0,False,new application,Phoenix
26.0,False,renewal,Vermont
52.0,False,new application,California
60.0,False,renewal,Vermont
60.0,False,new application,Vermont
57.0,False,renewal,California
68.0,False,renewal,California
38.0,False,new application,California
77.0,False,new application,Vermont
31.0,False,new application,Vermont
16.0,False,new application,Vermont
37.0,False,new application,Dallas
166.0,False,new application,Vermont
78.0,False,new application,Vermont
61.0,False,renewal,California
127.0,False,new application,Vermont
122.0,False,new application,Vermont
75.0,False,new application,Vermont
86.0,False,new application,Vermont
26.0,False,new application,Vermont
26.0,False,new application,Vermont
150.0,False,new application,Vermont
70.0,False,new application,Vermont
149.0,False,new application,Vermont
9.0,False,renewal,Vermont
81.0,False,new application,Vermont
86.0,False,new application,Vermont
52.0,False,new application,Phoenix
51.0,True,new application,Vermont
43.0,False,new application,Vermont
157.0,False,new application,Vermont
41.0,False,new application,Vermont
34.0,False,new application,Vermont
43.0,False,new application,Vermont
56.0,False,new application,California
191.0,False,new application,Vermont
79.0,False,new application,California
105.0,False,new application,Vermont
42.0,False,new application,Vermont
117.0,False,new application,Vermont
187.0,False,new application,Vermont
42.0,False,new application,Dallas
138.0,False,new application,Phoenix
231.0,False,new application,Vermont
163.0,False,new application,California
33.0,False,new application,California
43.0,False,new application,Phoenix
185.0,False,renewal,Phoenix
70.0,True,new application,California
31.0,False,new application,Vermont
74.0,False,renewal,Vermont
62.0,False,new application,California
46.0,False,new application,Vermont
107.0,False,new application,California
108.0,False,new application,Vermont
37.0,False,renewal,California
67.0,False,new application,Vermont
104.0,False,new application,Vermont
71.0,False,new application,California
98.0,False,new application,Vermont
148.0,False,new application,Vermont
149.0,False,new application,Vermont
113.0,False,new application,Vermont
75.0,False,new application,Vermont
151.0,False,new application,Vermont
71.0,False,new application,Vermont
39.0,False,new application,Phoenix
181.0,False,new application,Vermont
109.0,False,new application,Vermont
80.0,False,new application,Texas
129.0,False,new application,Vermont
180.0,False,new application,Vermont
115.0,False,new application,Vermont
169.0,False,new application,Vermont
8.0,True,new application,Vermont
177.0,False,new application,Vermont
49.0,False,new application,Vermont
119.0,False,new application,Vermont
50.0,False,new application,Vermont
71.0,False,new application,Vermont
79.0,False,new application,Vermont
45.0,False,new application,California
39.0,False,new application,California
45.0,False,new application,Vermont
9.0,True,new application,Vermont
27.0,False,new application,Vermont
174.0,False,new application,Vermont
75.0,False,new application,Vermont
125.0,False,new application,California
36.0,False,new application,California
51.0,False,new application,Vermont
60.0,False,new application,California
149.0,False,new application,Vermont
98.0,False,new application,California
97.0,True,new application,California
41.0,True,renewal,Vermont
92.0,False,new application,California
39.0,False,new application,Vermont
42.0,False,new application,California
161.0,False,new application,Vermont
39.0,False,new application,Vermont
72.0,False,new application,Vermont
14.0,True,new application,Vermont
13.0,False,new application,Vermont
13.0,False,new application,Vermont
62.0,False,new application,Vermont
35.0,False,new application,Vermont
175.0,False,new application,Vermont
79.0,True,new application,Vermont
58.0,False,new application,Vermont
71.0,False,new application,California
62.0,False,new application,Vermont
72.0,False,new application,Vermont
70.0,False,renewal,Vermont
156.0,False,new application,Vermont
212.0,False,new application,California
